address_id,full,city,region,country,latitude,longitude,shabiya_ar,shabiya_en,shabiya_pcode,matched_level,matched_script,matched_on
NK-3BWc2pWSVNDaukL2A8kFyN,Libya,,,ly,,,,,,,,
NK-535ZfA8VwvXwAsSuf9Fodn,ドバブシャ・サブラタ（Dbabsha-Sabratah）,Dbabsha-Sabratah,,ly,,,,,,,,
NK-8m85p8ZibS5TXYm3kgjZtK,"Al Jumhouria Street, East Junzour, Al Gheran, Tripoli, Libya",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
NK-AsJ29hKCcJr6Vyjs4EGtD2,"Hay Alandalus – Jian St, Tripoli, Libya",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
NK-GEoMygV5irhwnPEG7tMtaz,"1 Fateh Tower Office, No 99, 22nd Floor, Borgaida Street, Tripoli, Libya",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
NK-R35VjrWBbNwvhTjNaNK3Bu,"Benghazi, LIBYA",Benghazi,,ly,,,بنغازي,Benghazi,LY0103,shabiya,latin,benghazi
NK-T3B3Z2FgcyZUB8QZYV5dAA,"Garabulli, LIBYA",Garabulli,,ly,,,,,,,,
NK-VrKeHVXguh5A6MALLQsDfG,"Ghout El Shamal, Tripoli, Libya",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
NK-bVsL85ztbxT2BpRniDQkX4,"Bab Ben Ghasheer, Tripoli, LIBYA",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
NK-bWBHA94j2pViodMoJVBH4d,"Tarig sure no. 51, Tripoli",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
NK-fPfURyk4u7XFJesKSiy83t,"Jamahiriya Street, LAP Building, PO Box 91330, Tripoli, LIBYA",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
NK-gkihjjVgW5BPHEzW7gMkfB,ザーウィヤ(Zawiya)、リビア,Zawiya,Zawiyah,ly,,,الزاوية,Zawiya,LY0213,romanisation,latin,zawiyah
NK-ioiFe4D7TY2BzxwkHP5e67,"Hasan al-Mashay Street (off al-Zawiyah Street), Tripoli, Libya",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
NK-mE4cRHbPYxW9dJJ8Nz6vuQ,"P.O. Box 1100, El Ghayran Area, Ganzor El Sharqya, Tripoli, Libya",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
addr-08aa63e24e78031c50eebbcfd267564a0498ece6,"Jebel Akhdar, LIBYA",Jebel Akhdar,,ly,,,,,,,,
addr-1790631e9c38858594064fb46281ba817812eb82,"Omar Almukhtar Street, Tripoli",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
addr-19011de1a2ecb7d54438ddebf9d7690b4a5fecc4,Zawiya,Zawiya,,ly,,,الزاوية,Zawiya,LY0213,shabiya,latin,zawiya
addr-23972f0d13978af8c0ffb7d4e871724c151a8a8b,Sabratha,Sabratha,,ly,,,النقاط الخمس,Nuqat al Khams,LY0215,romanisation,latin,sabratha
addr-31bbe8a01d9da74e11d4c82c90ca7f609d65b988,"حي الشارب, أوباري, ليبيا",أوباري,,ly,,,وادي الحياة,Wadi al Hayaa,LY0320,baladiya,arabic,أوباري
addr-5d2bf2ad32398d9acd418d7a05e188c4a2869430,"Kaser Ahmet Street, Ras Al Sayah District, Misurata",Misurata,,ly,,,مصراته,Misrata,LY0214,romanisation,latin,misurata
addr-5ea09028ac6610c04920c9e2da7efe58825ae64d,Sabratha,Sabratha,,ly,,,النقاط الخمس,Nuqat al Khams,LY0215,romanisation,latin,sabratha
addr-6d681a86d28648523f7f5a645d512a1e9e37e06c,"طرابلس, ليبيا",طرابلس,,ly,,,طرابلس,Tripoli,LY0211,shabiya,arabic,طرابلس
addr-726e00fef2252f49d848fd7edb12b3603475d65e,Tripoli,Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
addr-73069d10e5b14c39a6ea5c8cfa5795d6816fad8e,"Sarage El Islam, Tripoli",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
addr-816631dcf15815824a4e847ba69915a09a12613f,"TRIPOLI, LIBYA",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
addr-816c3f8b390bace8c2a1c2c6ebfa421125d14569,"Al Nasr Street, Tarabulus, Tripoli",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,romanisation,latin,tarabulus
addr-837218562943050e6bf2b396b97517950fc195a4,Darnah,Darnah,,ly,,,درنة,Derna,LY0101,shabiya,latin,darnah
addr-87bc15fa6ada0d7645e3896d18b0f8d1de732d54,"Ben Ashoor, Tripoli",Tripoli,,ly,,,طرابلس,Tripoli,LY0211,shabiya,latin,tripoli
addr-91cd7c823b1ab165ff2762ca4eadb34e875ca1ad,Benghazi,Benghazi,,ly,,,بنغازي,Benghazi,LY0103,shabiya,latin,benghazi
addr-9d18efbb48551533312f4eb0d5a282335cf2e5b6,Sabratha,Sabratha,,ly,,,النقاط الخمس,Nuqat al Khams,LY0215,romanisation,latin,sabratha
addr-a0bd7405598c1a3db946b468f7409658d542758d,"Derna, LIBYA",Derna,,ly,,,درنة,Derna,LY0101,shabiya,latin,derna
addr-a0be6cc6702f04d9dc87174e0f9ad15d199322a3,Zawiya,Zawiya,,ly,,,الزاوية,Zawiya,LY0213,shabiya,latin,zawiya
addr-c6e4e608c02e5266a520f0c53b1a32492cc07d44,Darnah,Darnah,,ly,,,درنة,Derna,LY0101,shabiya,latin,darnah
