record_ark,title,authors,publisher,publication_date,year,era,document_type,document_class,is_data_source,language,subjects,is_digitised,gallica_ark,gallica_url,catalogue_url,found_by,holding_institution
cb31884888z,"@ [Hebdomadaire.] Dir. : Ṣāliḥ Bū Baṣīr. IIe année. N° 71, 4 mai 1953","Bū Baṣīr, Ṣāliḥ. Éditeur scientifique",,,,,texte imprimé,book,0,,,0,,,https://catalogue.bnf.fr/ark:/12148/cb31884888z,Libye;Benghazi,Bibliothèque nationale de France
cb48514949f,"Archeologia italiana in Libia : il contributo dell'esperienza archeologica ""d'oltremare"" nel dibattito sul restauro negli anni '30 : il restauro-anast","Comes, Federica",Il prato,,,,texte imprimé,book,0,ita,,0,,,https://catalogue.bnf.fr/ark:/12148/cb48514949f,Libia,Bibliothèque nationale de France
cb45983002s,"Autour de la Méditerranée. - 1re série Les côtes Barbaresques (Tripolitaine et Tunisie ; Tunisie et Algérie ; Algérie et Maroc. - 2e série Les côtes latines. Espagne, France. Italie ; - 3e sér. Les côtes orientales. Autriche et Grèce ; Turquie d'Europe et d'Asie ; Terre Sainte et Egypte. - Chaque volume, avec 120 dessins inédits, broché, 10 fr. - Paris, Laurens, 9 vol.","Bernard, Marius (1847-1914). Auteur du texte",,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb45983002s,Tripolitaine,Bibliothèque nationale de France
cb459904131,Catalogue d'ouvrages à consulter pour faire une étude de la Tunisie et de la Tripolitaine (manuscrit),"Duveyrier, Henri (1840-1892). Auteur du texte",,,,,texte imprimé,book,0,fre,Tunisie,0,,,https://catalogue.bnf.fr/ark:/12148/cb459904131,Tripolitaine,Bibliothèque nationale de France
cb43368536z,"Contribution à l'étude de l'hydrogéologie de la cuvette Fezzanaise / par Pierre Bellair,...","Bellair, Pierre. Auteur du texte",Impr. de Imbert (Alger),,,,texte imprimé,book,0,fre,"Fezzan, Plateau du; Hydrogéologie",0,,,https://catalogue.bnf.fr/ark:/12148/cb43368536z,Fezzan;Libye,Bibliothèque nationale de France
cb45991588f,"Culture et industrie du coton aux Etats-Unis. (Rapports commerciaux des agents diplomatiques et consulaires de France. Année 1903, n° 208. Missions spéciales. Supplément au Moniteurs officiel du Commerce du 5 fevr., 1904, 48 p.)","Foex, H.. Auteur du texte",,,,,texte imprimé,trade_returns,1,fre,Coton -- États-Unis,0,,,https://catalogue.bnf.fr/ark:/12148/cb45991588f,Rapports commerciaux des agents consulaires de France,Bibliothèque nationale de France
cb43371386g,Du Caire à l'oasis de Farafra via Baharia : Apercus géographique et géologique / J. Cuvillier,"Cuvillier, J.. Auteur du texte",,,,,texte imprimé,book,0,fre,"Libye, Désert de -- Égypte -- Oasis",0,,,https://catalogue.bnf.fr/ark:/12148/cb43371386g,Libye,Bibliothèque nationale de France
cb318820768,Du Cameroun au Caire par le désert de Libye. Chasses au Tchad. Avec vingt-quatre gravures hors texte et deux cartes,"Bruneau de Laborie, Émile Louis Aristide (1871-1930). Auteur du texte",,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb318820768,Libye,Bibliothèque nationale de France
cb316021698,Economic progress of fascist Italy,"Volpi di Misurata, Giuseppe (1877-1947). Auteur du texte",the Usila (Roma),,,,texte imprimé,book,0,eng,,0,,,https://catalogue.bnf.fr/ark:/12148/cb316021698,Misurata,Bibliothèque nationale de France
cb339341811,Educational missions...,Unesco. Éditeur scientifique,UNESCO (Paris),,,,publication en série imprimée,serial,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb339341811,Libye,Bibliothèque nationale de France
cb45990604m,"Excursion anthropologique au Sahara, à travers le Tripolitaine, la Tunisie et l'Algérie","Elysséef, A.. Auteur du texte",,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb45990604m,Tripolitaine,Bibliothèque nationale de France
cb318382914,Gli ultimi giorni di Bengasi turca / [par Giuliano Bonacci],"Bonacci, Giuliano. Auteur du texte",tip. F. Filelfo (Tolentino),,,,texte imprimé,book,0,ita,,1,bpt6k134468b,https://gallica.bnf.fr/ark:/12148/bpt6k134468b,https://catalogue.bnf.fr/ark:/12148/cb318382914,Bengasi,Bibliothèque nationale de France
cb47585558v,"Histoire de la province romaine de Crète-Cyrénaïque, de Pompée à Dioclétien","Chevrollier, F",Peeters,,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb47585558v,Cyrénaïque,Bibliothèque nationale de France
cb45990683r,"Il Clima di Zavia (Tripolitania) (anno VII, n° 16, 12 p.)","Eredia, Filippo (1877-1948). Auteur du texte",,,,,texte imprimé,book,0,ita,Tripolitaine -- Climatologie,0,,,https://catalogue.bnf.fr/ark:/12148/cb45990683r,Tripolitaine;Tripolitania,Bibliothèque nationale de France
cb43379909m,Il convegno dei geografi italiani a Tripoli / Elio Migliorini,"Migliorini, Elio (1902-1988). Auteur du texte",,,,,texte imprimé,book,0,ita,Tripoli,0,,,https://catalogue.bnf.fr/ark:/12148/cb43379909m,Libye;Tripoli de Barbarie,Bibliothèque nationale de France
cb433763600,"Institut de recherches sahariennes de l'Université d'Alger. Mission scientifique de Fezzân, 1944-1945",,,,,,texte imprimé,scientific_mission,1,fre,"Fezzan, Plateau du -- Sud; Kaouar, Oasis du; Tibesti, Massif du; Sahara, Désert du",0,,,https://catalogue.bnf.fr/ark:/12148/cb433763600,Fezzan;Libye,Bibliothèque nationale de France
cb43368103w,L'Azione coloniale. Supplemento al. n. 20. 12 juillet 1931,,,,,,texte imprimé,book,0,spa,"Koufra, Oasis de",0,,,https://catalogue.bnf.fr/ark:/12148/cb43368103w,Libye;Koufra,Bibliothèque nationale de France
cb487983023,"L'aventurier des mille salams : 28 ans, un vélo, dix pays d'Afrique du Nord et du Moyen-Orient, 11 350 kilomètres","Mouton, Brice (Auteur du texte)",Les Presses de la Cité (Paris),,,,texte imprimé,book,0,fre,,0,,,https://catalogue.bnf.fr/ark:/12148/cb487983023,Libye,Bibliothèque nationale de France
cb459804563,"La Cirenaica, Il paese e i suoi aspetti nel passato e nel presente. Conferenza tenuta in Roma nell'Aula Magna del Collegio Romano l'11 febbraio 1912","Almagià, Roberto (1884-1962). Auteur du texte",[s.n.] (Roma),,,,texte imprimé,book,0,ita,Cyrénaïque,0,,,https://catalogue.bnf.fr/ark:/12148/cb459804563,Cyrénaïque;Cirenaica,Bibliothèque nationale de France
