date,year,month,currency_in_circulation,demand_deposits,money_m1,time_deposits,saving_deposits,quasi_money,money_supply_m2
2004-01-31,2004,1,2928.2,6144.7,9072.9,4781.6,642.5,5424.1,14497.0
2004-02-29,2004,2,2817.6,6116.6,8934.2,5211.8,646.9,5858.7,14792.9
2004-03-31,2004,3,2868.4,6100.6,8969.0,5428.1,654.8,6082.9,15051.9
2004-04-30,2004,4,2871.6,6489.9,9361.5,5345.6,655.9,6001.5,15363.0
2004-05-31,2004,5,2862.6,6660.6,9523.2,5059.2,658.0,5717.2,15240.4
2004-06-30,2004,6,2881.4,6958.2,9839.6,5052.7,668.5,5721.2,15560.8
2004-07-31,2004,7,2872.5,7051.9,9924.4,5111.7,668.2,5779.9,15704.3
2004-08-31,2004,8,2648.0,7311.4,9959.4,4831.3,687.6,5518.9,15478.3
2004-09-30,2004,9,2460.4,7528.7,9989.1,4561.1,695.1,5256.2,15245.3
2004-10-31,2004,10,2526.2,7741.3,10267.5,4687.0,695.7,5382.7,15650.2
2004-11-30,2004,11,2590.2,7687.7,10277.9,6882.1,698.6,7580.7,17858.6
2004-12-31,2004,12,2612.7,7923.9,10536.6,1883.8,715.1,2598.9,13135.5
2005-01-31,2005,1,2837.5,7863.8,10701.3,2001.2,714.1,2715.3,13416.6
2005-02-28,2005,2,2767.0,7879.6,10646.6,2085.9,714.6,2800.5,13447.1
2005-03-31,2005,3,2558.2,8444.5,11002.7,2117.4,723.8,2841.2,13843.9
2005-04-30,2005,4,2613.4,8271.4,10884.8,2169.7,717.1,2886.8,13771.6
2005-05-31,2005,5,2683.6,9229.0,11912.6,2338.5,711.1,3049.6,14962.2
2005-06-30,2005,6,2764.7,9385.7,12150.4,2356.6,704.6,3061.2,15211.6
2005-07-31,2005,7,2866.9,9312.1,12179.0,2463.0,699.0,3162.0,15341.0
2005-08-31,2005,8,2998.7,9531.8,12530.5,2411.7,695.5,3107.2,15637.7
2005-09-30,2005,9,2999.6,9775.9,12775.5,2323.3,691.0,3014.3,15789.8
2005-10-31,2005,10,3247.9,9729.8,12977.7,2374.3,690.9,3065.2,16042.9
2005-11-30,2005,11,3121.8,10432.3,13554.1,2308.2,689.7,2997.9,16552.0
2005-12-31,2005,12,3308.7,10719.4,14028.1,2368.2,700.0,3068.2,17096.3
2006-01-31,2006,1,3406.1,10740.5,14146.6,2556.4,687.5,3243.9,17390.5
2006-02-28,2006,2,3473.3,10445.1,13918.4,2805.0,682.7,3487.7,17406.1
2006-03-31,2006,3,3530.0,10127.0,13657.0,2623.4,674.3,3297.7,16954.7
2006-04-30,2006,4,3515.6,9792.4,13308.0,2746.4,667.5,3413.9,16721.9
2006-05-31,2006,5,3625.9,10845.4,14471.3,2674.7,663.0,3337.7,17809.0
2006-06-30,2006,6,3601.5,10717.7,14319.2,2671.0,661.8,3332.8,17652.0
2006-07-31,2006,7,3569.0,10928.1,14497.1,2782.4,654.0,3436.4,17933.5
2006-08-31,2006,8,3541.5,11459.3,15000.8,2531.1,650.4,3181.5,18182.3
2006-09-30,2006,9,3568.0,12116.5,15684.5,2503.6,648.8,3152.4,18836.9
2006-10-31,2006,10,3837.7,12539.7,16377.4,2416.5,650.3,3066.8,19444.2
2006-11-30,2006,11,3689.4,11943.8,15633.2,2584.4,641.6,3226.0,18859.2
2006-12-31,2006,12,3932.9,12410.1,16343.0,2662.0,650.9,3312.9,19655.9
2007-01-31,2007,1,3785.1,11492.9,15278.0,2613.9,641.4,3255.3,18533.3
2007-02-28,2007,2,3805.1,11338.5,15143.6,2857.9,639.9,3497.8,18641.4
2007-03-31,2007,3,3822.2,12470.9,16293.1,2780.9,638.3,3419.2,19712.3
2007-04-30,2007,4,3880.6,12797.0,16677.6,2870.1,636.7,3506.8,20184.4
2007-05-31,2007,5,3988.4,12594.3,16582.7,2940.2,630.2,3570.4,20153.1
2007-06-30,2007,6,4014.9,13194.2,17209.1,2961.1,613.8,3574.9,20784.0
2007-07-31,2007,7,4018.1,14160.7,18178.8,2780.2,627.9,3408.1,21586.9
2007-08-31,2007,8,4039.6,15596.9,19636.5,2845.5,628.6,3474.1,23110.6
2007-09-30,2007,9,4164.5,15920.1,20084.6,2813.3,625.0,3438.3,23522.9
2007-10-31,2007,10,4254.8,17245.1,21499.9,2582.1,635.9,3218.0,24717.9
2007-11-30,2007,11,4242.8,17929.2,22172.0,3239.2,650.2,3889.4,26061.4
2007-12-31,2007,12,4581.2,18256.3,22837.5,3481.3,663.3,4144.6,26982.1
2008-01-31,2008,1,4556.6,18439.1,22995.7,2805.1,661.9,3467.0,26462.7
2008-02-29,2008,2,4788.3,17994.6,22782.9,3396.8,655.9,4052.7,26835.6
2008-03-31,2008,3,4968.8,18217.9,23186.7,3637.0,659.1,4296.1,27482.8
2008-04-30,2008,4,4921.0,21243.3,26164.3,4174.3,670.0,4844.3,31008.6
2008-05-31,2008,5,4972.0,22382.1,27354.1,3660.8,671.3,4332.1,31686.2
2008-06-30,2008,6,5015.4,25717.7,30733.1,3636.7,666.2,4302.9,35036.0
2008-07-31,2008,7,4975.2,25948.0,30923.2,3804.1,674.2,4478.3,35401.5
2008-08-31,2008,8,5085.1,26911.2,31996.3,3756.8,675.1,4431.9,36428.2
2008-09-30,2008,9,5387.9,28145.3,33533.2,4057.9,680.4,4738.3,38271.5
2008-10-31,2008,10,5207.7,27201.2,32408.9,4165.6,669.7,4835.3,37244.2
2008-11-30,2008,11,5238.8,29576.6,34815.4,4482.5,675.5,5158.0,39973.4
2008-12-31,2008,12,5608.3,28806.3,34414.6,4640.7,689.2,5329.9,39744.5
2009-01-31,2009,1,5595.1,26105.6,31700.7,4736.0,688.1,5424.1,37124.8
