baladiya_ar,shabiya_ar,shabiya_inferred_from,inference_unanimous,localities,polling_centres
أبوسليم,,,,22,41
أوجلة,,,,3,4
األبرق,درنة,census_mahalla_votes,1,5,6
االبيار,المرج,census_mahalla_votes,1,10,19
االصابعة,الجبل الغربي,census_mahalla_votes,1,9,12
اجخرة,الواحات,census_mahalla_votes,1,1,2
اجدابيا,,,,5,25
ادرى,وادي الشاطئ,census_mahalla_votes,1,12,16
ال تيقة,الواحات,census_mahalla_votes,1,7,10
البوانيس,سبها,census_mahalla_votes,1,3,3
البيضاء,الجبل الأخضر,census_mahalla_votes,0,22,45
البيضان وانتالت,,,,2,2
الجديدة,,,,3,9
الجفرة,الجفرة,census_mahalla_votes,0,13,17
الجميل,النقاط الخمس,census_mahalla_votes,1,11,20
الحرابه,نالوت,census_mahalla_votes,1,7,7
الخمس,المرقب,census_mahalla_votes,0,19,42
الرجبان,,,,6,7
الرحيبات,الجبل الغربي,census_mahalla_votes,1,4,5
الرياينة,الجبل الغربي,census_mahalla_votes,1,5,5
الزاوية الجنوب,,,,6,6
الزاوية الغرب,الزاوية,census_mahalla_votes,1,14,24
الزاوية المركز,الزاوية,census_mahalla_votes,0,21,49
الزنتان,,,,7,11
الزنتان الجنوبية,الجبل الغربي,census_mahalla_votes,1,3,3
الزهراء,,,,4,6
الزويتينة وسلطان,,,,3,5
الساحل,الجبل الأخضر,census_mahalla_votes,0,17,23
السبيعة,الجفارة,census_mahalla_votes,1,5,8
السدرة,سرت,census_mahalla_votes,1,7,9
الشقية,مرزق,census_mahalla_votes,1,10,11
الشقيقة,,,,3,3
الشويرف,الجبل الغربي,census_mahalla_votes,1,2,2
العامرية,الجفارة,census_mahalla_votes,1,2,3
العجيالت,النقاط الخمس,census_mahalla_votes,1,7,17
العزيزية,الجفارة,census_mahalla_votes,1,10,17
الغريفة,وادي الحياة,census_mahalla_votes,1,10,12
القبة,درنة,census_mahalla_votes,1,8,17
القرضة,وادي الشاطئ,census_mahalla_votes,1,11,14
القره بولل,المرقب,census_mahalla_votes,1,6,15
القطرون,مرزق,census_mahalla_votes,1,6,7
القلعة,الجبل الغربي,census_mahalla_votes,1,4,4
القيقب,,,,1,2
الكفرة,الكفرة,census_mahalla_votes,1,8,14
الماية,الجفارة,census_mahalla_votes,1,3,9
المرج,المرج,census_mahalla_votes,1,10,31
المعمورة,الجفارة,census_mahalla_votes,1,4,8
النارصية,,,,5,8
ام الرزم,درنة,census_mahalla_votes,1,4,6
امساعد,البطنان,census_mahalla_votes,0,9,11
اوباري,وادي الحياة,census_mahalla_votes,0,3,7
باطن الجبل,نالوت,census_mahalla_votes,1,10,11
بب االشهب,,,,4,5
براك,وادي الشاطئ,census_mahalla_votes,1,10,12
بن وليد,مصراته,census_mahalla_votes,0,17,33
بنت بيه,,,,13,15
بنغازي,بنغازي,census_mahalla_votes,0,34,164
تاجوراء,طرابلس,census_mahalla_votes,1,13,36
تازربو,الكفرة,census_mahalla_votes,1,1,2
تراغن,,,,4,5
ترهونة,المرقب,census_mahalla_votes,1,27,48
توكرا,المرج,census_mahalla_votes,1,6,13
ج االندلس,طرابلس,census_mahalla_votes,1,13,53
جادو,الجبل الغربي,census_mahalla_votes,1,12,12
جالو,,,,6,11
جتور,الجفارة,census_mahalla_votes,1,11,38
جردس,المرج,census_mahalla_votes,0,8,10
درج,نالوت,census_mahalla_votes,1,8,8
درنة,درنة,census_mahalla_votes,1,11,30
رست,سرت,census_mahalla_votes,1,23,36
رصمان,الزاوية,census_mahalla_votes,0,10,21
رقدال ي,النقاط الخمس,census_mahalla_votes,1,5,12
زلطن,النقاط الخمس,census_mahalla_votes,1,2,5
زليت,مصراته,census_mahalla_votes,1,21,68
زمزم,سرت,census_mahalla_votes,1,5,8
زوارة,النقاط الخمس,census_mahalla_votes,1,6,11
سبها,سبها,census_mahalla_votes,1,12,34
سلوق,بنغازي,census_mahalla_votes,1,3,12
سوان بن أدم,الجفارة,census_mahalla_votes,1,7,15
سوق الجمعة,طرابلس,census_mahalla_votes,1,18,58
سوق الخميس,الجفارة,census_mahalla_votes,1,6,9
سيدي السائح,الجفارة,census_mahalla_votes,0,7,9
شحات,الجبل الأخضر,census_mahalla_votes,1,11,15
صرتاتة,النقاط الخمس,census_mahalla_votes,1,14,22
طرابلس المركز,طرابلس,census_mahalla_votes,1,15,47
طربق,البطنان,census_mahalla_votes,1,13,55
ظاهر الجبل,الجبل الغربي,census_mahalla_votes,1,4,4
ع ي زارة,,,,11,26
غات,غات,census_mahalla_votes,1,5,10
غدامس,نالوت,census_mahalla_votes,1,3,3
غريان,الجبل الغربي,census_mahalla_votes,0,28,41
قرص األخيار,المرقب,census_mahalla_votes,1,7,13
قرص بن غشرت,الجفارة,census_mahalla_votes,1,7,30
قمينس,بنغازي,census_mahalla_votes,1,5,10
كاباو,نالوت,census_mahalla_votes,1,4,5
ككلة,,,,6,6
مرادة,الواحات,census_mahalla_votes,1,1,1
مرزق,,,,4,11
مرصاتة,مصراته,census_mahalla_votes,0,41,90
مزدة,,,,3,4
مسالتة,المرقب,census_mahalla_votes,1,16,21
نالوت,نالوت,census_mahalla_votes,1,7,9
نسمة,الجبل الغربي,census_mahalla_votes,1,4,4
هراوة,سرت,census_mahalla_votes,1,2,3
وادى عتبة,وادي الشاطئ,census_mahalla_votes,1,7,7
وازن,نالوت,census_mahalla_votes,1,1,1
وردامه,الجبل الأخضر,census_mahalla_votes,1,1,1
يفرن,الجبل الغربي,census_mahalla_votes,1,5,6
